Data.Matrix,mock_1,mock_2,IR_1,IR_2,mu_1,mu_2
ENSMUSG00000028995,3210,2553,1054,663,2962,2692
ENSMUSG00000045007,122,97,22,10,74,65
ENSMUSG00000062785,183,182,530,384,225,213
ENSMUSG00000038268,1117,843,526,369,784,653
ENSMUSG00000054589,85,46,693,394,46,57
ENSMUSG00000102752,52,59,21,16,43,45
ENSMUSG00000069917,18079,3038,962,1248,3761,199459
ENSMUSG00000109032,56,34,56,59,27,29
ENSMUSG00000094686,6,7,16,12,13,8
ENSMUSG00000035818,7,5,15,12,3,3
ENSMUSG00000031971,292,246,126,86,277,228
ENSMUSG00000055172,223,174,73,43,165,169
ENSMUSG00000054520,4680,4236,1197,716,4248,4098
ENSMUSG00000040466,3542,2254,1010,432,2149,2219
ENSMUSG00000017390,216,139,42,34,167,193
ENSMUSG00000047832,1650,1234,692,436,1463,1277
ENSMUSG00000074479,13,0,16,10,7,0
ENSMUSG00000024999,1884,1580,1744,1454,1474,1325
ENSMUSG00000021290,1097,733,550,283,975,836
ENSMUSG00000093392,7,25,10,0,32,11
ENSMUSG00000030708,964,769,240,186,930,889
ENSMUSG00000028654,190,86,31,42,159,132
ENSMUSG00000020075,9175,6679,12044,9241,6046,6106
ENSMUSG00000022098,44,51,286,196,71,35
ENSMUSG00000090592,891,1236,1054,1048,975,1123
ENSMUSG00000015970,52,42,18,36,84,77
ENSMUSG00000066116,11,0,12,3,13,0
ENSMUSG00000030019,2399,2034,897,589,2031,2019
ENSMUSG00000025915,4047,3702,1440,990,3934,3318
ENSMUSG00000053830,215,123,37,94,166,216
ENSMUSG00000040136,2,2,15,13,2,2
ENSMUSG00000063317,1666,1483,1342,992,1566,1385
ENSMUSG00000045045,21,18,22,18,16,15
ENSMUSG00000028931,3123,2513,696,394,2958,2627
ENSMUSG00000039725,914,734,582,413,833,733
ENSMUSG00000018286,2429,1627,1705,1009,1941,1848
ENSMUSG00000022425,162,111,66,40,99,88
ENSMUSG00000022010,944,814,482,290,1169,1144
ENSMUSG00000037235,8631,6800,1985,1152,7704,6060
ENSMUSG00000029033,870,719,231,158,812,691
ENSMUSG00000020101,3386,3009,1362,865,2386,1891
ENSMUSG00000075015,19,281,96833,192652,1986,1394
ENSMUSG00000079553,251,154,666,496,140,96
ENSMUSG00000031150,5,2,15,9,2,4
ENSMUSG00000054999,27,16,70,67,13,20
ENSMUSG00000098678,11,8,6,14,3,2
ENSMUSG00000060096,59,45,325,242,33,92
ENSMUSG00000026249,698,737,1553,1470,635,537
ENSMUSG00000019850,3657,2933,5372,5317,2982,2871
ENSMUSG00000081272,37,24,5,3,46,33
ENSMUSG00000029484,236,206,139,78,152,217
ENSMUSG00000028979,89,49,96,83,55,65
ENSMUSG00000078840,24,25,17,21,19,8
ENSMUSG00000081684,0,15,15,14,9,4
ENSMUSG00000091095,4,12,44,48,7,10
ENSMUSG00000081868,28,36,10,12,47,39
ENSMUSG00000027544,1613,1775,1361,1061,1363,978
ENSMUSG00000047227,49,37,18,10,36,38
ENSMUSG00000056328,5,8,15,15,5,6
ENSMUSG00000022623,92,113,79,63,129,98
ENSMUSG00000009687,2972,2180,1315,931,1676,1385
