,null_mock_1,null_mock_2,null_IR_1,null_IR_2,wt_IR_1,wt_IR_2,wt_IR_3,wt_IR_4,wt_mock_1,wt_mock_2,wt_mock_3,wt_mock_4
  0610007P14RIK,921,896,1580,1788,565,363,671,765,1110,839,722,902
  0610009B22RIK,132,112,217,200,71,49,142,123,179,116,139,114
  0610009L18RIK,169,167,78,115,52,38,87,106,156,129,93,151
  0610009O20RIK,1182,1088,1548,1479,716,461,806,928,1367,1127,831,1099
  0610010F05RIK,526,478,632,795,357,263,370,391,628,512,420,486
  0610010K14RIK,634,555,928,1016,378,252,536,684,818,647,481,544
  0610011F06RIK,523,486,472,540,319,212,496,643,637,501,400,440
  0610012G03RIK,851,825,970,1222,600,429,613,727,986,753,702,835
  0610030E20RIK,3631,3350,3377,4168,2479,1974,2584,3087,3889,3372,2403,3677
  0610037L13RIK,1445,1240,2013,2296,1040,730,1366,1747,1619,1373,1047,1066
  0610040J01RIK,61,60,14,33,49,27,34,24,59,47,51,63
  1110001J03RIK,218,190,197,174,46,25,112,87,193,153,121,147
  1110002E22RIK,2,0,6,12,11,26,7,1,1,0,0,1
  1110004E09RIK,161,170,563,680,144,99,153,205,235,165,152,156
  1110004F10RIK,1560,1474,2794,3390,1346,911,1494,1769,1983,1476,1321,1305
  1110008F13RIK,1069,1027,1799,1540,620,427,770,731,1541,1083,956,1032
  1110008L16RIK,552,546,971,1160,473,306,595,645,658,527,394,514
  1110008P14RIK,570,545,565,687,320,216,384,434,607,495,437,468
  1110012L19RIK,271,262,295,327,465,263,632,724,362,235,190,209
  1110017D15RIK,3,4,0,2,3,3,1,1,1,1,1,5
  1110025L11RIK,0,0,0,0,0,1,0,0,0,0,0,0
  1110032A03RIK,440,481,324,462,343,195,335,389,587,474,332,434
  1110032F04RIK,9,4,1,13,9,7,7,7,5,3,6,4
  1110034G24RIK,505,424,337,485,439,342,309,345,567,497,368,466
  1110037F02RIK,5203,4703,5353,5760,3197,2474,3940,4308,6015,4958,3789,4855
  1110038F14RIK,510,492,747,950,437,304,527,597,670,549,371,506
  1110051M20RIK,504,454,567,632,391,413,334,387,589,534,471,560
  1110057P08RIK,0,0,0,0,0,0,0,0,0,0,0,0
  1110059E24RIK,2505,2200,1611,1780,965,719,1058,1115,2591,2139,1851,2169
  1110059G10RIK,403,419,387,520,237,172,320,331,497,428,322,340
  1110065P20RIK,109,86,208,209,72,46,101,112,116,79,77,79
  1190002N15RIK,466,434,468,415,300,190,426,434,508,434,416,508
  1190003K10RIK,0,0,0,0,0,0,0,0,0,0,0,0
  1190005I06RIK,1,0,7,12,11,3,5,5,4,2,6,5
  1190007I07RIK,279,276,506,668,289,203,410,477,370,320,216,311
  1300017J02RIK,86,78,54,94,94,94,68,80,143,130,77,122
  1500009C09RIK,8,11,18,15,7,8,13,5,4,2,4,5
  1500009L16RIK,0,0,0,0,3,3,1,1,2,0,1,0
  1500011B03RIK,411,435,405,476,373,231,507,548,434,352,286,355
  1500011K16RIK,196,187,345,404,112,76,238,200,216,157,152,139
  1500015O10RIK,16,12,18,25,5,3,10,9,18,10,6,19
  1520401A03RIK,3,2,1,1,11,9,2,3,5,2,3,2
  1600002H07RIK,386,321,408,527,262,193,300,353,469,335,245,318
  1600002K03RIK,216,208,407,327,150,112,263,278,239,194,182,183
  1600012H06RIK,1196,1125,1500,1503,668,488,875,972,1458,1103,918,1101
  1600014C10RIK,1030,1200,731,860,958,619,1298,1510,1361,1034,884,997
  1600014C23RIK,0,0,0,0,1,0,0,0,0,0,0,0
  1600015I10RIK,0,0,0,0,2,1,0,0,0,0,0,0
  1600029O15RIK,152,124,94,161,139,107,129,97,149,129,88,176
  1700001C02RIK,0,0,0,0,3,0,0,0,0,0,0,0
  1700001C19RIK,54,38,21,33,28,19,27,23,53,36,29,62
  1700001F09RIK,0,0,0,0,2,3,0,0,0,0,0,0
  1700001J03RIK,9,6,18,27,22,9,9,14,13,9,2,8
  1700001J11RIK,252,210,104,104,109,74,114,139,235,240,135,225
  1700001K19RIK,48,28,39,37,12,10,21,16,50,43,34,46
  1700001L19RIK,0,1,0,0,2,2,0,0,0,1,1,0
  1700001O22RIK,1,0,0,4,6,7,0,3,3,4,3,1
  1700001P01RIK,10,22,56,45,10,14,23,30,18,15,9,23
  1700003E16RIK,1,3,1,1,1,7,0,1,1,1,0,1
  1700003F12RIK,15,10,14,13,5,8,15,12,7,13,13,12
  1700003H04RIK,0,0,0,0,1,3,0,0,0,0,0,0
  1700003N22RIK,1,0,1,0,2,2,0,0,0,0,0,1
  1700006A11RIK,0,0,0,1,2,2,0,1,0,0,0,0
  1700006E09RIK,8,2,1,0,1,2,2,3,10,4,6,8
  1700007B14RIK,2,0,0,0,2,1,0,0,0,0,0,0
  1700007E05RIK,308,234,175,245,131,143,119,119,240,253,180,280
  1700007G11RIK,0,1,0,0,2,1,1,0,3,1,2,2
  1700007K09RIK,0,0,3,8,4,9,4,2,1,1,1,1
  1700007K13RIK,0,0,0,0,271,172,532,640,0,1,0,0
  1700008O03RIK,29,16,34,44,37,31,37,28,45,33,21,39
  1700008P02RIK,0,0,0,0,0,3,0,0,0,0,0,0
  1700009N14RIK,0,0,0,0,1,0,0,1,1,0,0,0
  1700010B08RIK,14,3,4,4,7,9,4,10,8,5,4,6
  1700010I14RIK,184,183,82,110,77,61,67,77,203,187,121,123
  1700010N08RIK,0,0,1,1,4,8,0,0,0,0,0,0
  1700011E24RIK,6,8,9,12,11,10,9,9,7,8,5,14
  1700011H14RIK,5,4,47,28,16,31,15,3,5,4,1,7
  1700011I03RIK,5,2,1,1,4,5,1,0,3,7,2,0
  1700011L22RIK,7,6,4,7,5,2,8,2,3,4,2,5
  1700011M02RIK,0,0,0,0,1,1,0,0,0,0,0,0
  1700012A03RIK,0,0,0,0,2,2,0,0,0,0,0,0
  1700012B07RIK,1,0,0,0,4,3,1,0,0,1,0,2
  1700012B09RIK,0,0,0,0,0,1,1,0,0,0,0,1
  1700012L04RIK,23,17,20,19,4,5,7,7,28,20,10,27
  1700012P22RIK,0,0,0,0,0,0,0,0,0,0,0,0
  1700013D24RIK,0,0,0,1,1,0,0,1,0,0,0,0
  1700013F07RIK,3,8,3,10,8,11,2,2,5,2,3,6
  1700013G24RIK,0,0,0,0,2,1,0,0,0,0,0,0
  1700013H16RIK,0,0,0,1,0,1,0,0,1,0,0,1
  1700014D04RIK,1,0,3,5,3,8,2,3,0,2,1,1
  1700015E13RIK,6,0,0,3,1,2,2,0,4,4,3,6
  1700015F17RIK,0,0,0,0,2,0,0,0,1,0,0,1
  1700015G11RIK,0,0,0,0,0,0,0,0,0,0,0,0
  1700016C15RIK,9,6,45,36,16,14,12,9,7,8,5,7
  1700016D06RIK,303,262,215,287,216,181,226,190,256,271,196,396
  1700016H13RIK,0,1,0,0,2,1,5,4,0,0,0,0
  1700016K19RIK,6,7,5,5,5,6,1,3,8,5,4,4
  1700017B05RIK,1120,1020,1642,1622,1371,1166,1474,1690,1348,1150,837,1341
  1700017D01RIK,86,78,69,58,93,86,58,36,87,77,83,107
  1700017N19RIK,0,0,0,0,1,1,0,1,0,0,0,0
  1700018B08RIK,0,0,5,7,2,6,2,1,1,0,0,0
  1700018C11RIK,2,1,8,8,5,6,3,2,3,0,3,1
  1700018F24RIK,0,0,0,0,1,0,0,0,0,0,0,0
  1700018M17RIK,5,4,0,6,6,2,15,8,9,4,6,6
  1700019A02RIK,9,12,19,16,11,10,14,7,17,17,4,16
  1700019B03RIK,3,3,3,7,15,13,7,3,2,0,1,3
  1700019D03RIK,422,327,431,428,169,102,131,156,532,533,412,466
  1700019M22RIK,0,0,0,0,0,1,0,1,0,0,0,0
  1700019N19RIK,2,0,0,0,2,0,0,1,0,0,0,0
  1700019O17RIK,1,0,0,1,0,7,3,2,1,0,0,1
  1700020A23RIK,2,6,9,12,3,12,3,4,0,2,2,7
  1700020D05RIK,132,98,44,52,37,28,32,26,101,123,81,120
  1700020L24RIK,0,7,4,4,3,2,3,3,7,2,4,1
  1700020N01RIK,0,0,0,2,2,0,0,0,0,0,0,1
  1700020N15RIK,0,0,0,0,3,0,0,0,0,0,0,0
  1700021F05RIK,155,132,305,394,130,102,145,190,230,189,132,125
  1700021F07RIK,0,0,0,0,2,2,0,0,2,0,0,0
  1700022A21RIK,0,0,0,0,2,3,0,0,0,0,0,0
  1700022I11RIK,62,68,76,105,55,74,82,61,95,81,51,91
  1700023F06RIK,16,29,9,11,2,10,6,7,20,15,14,35
  1700024B05RIK,0,0,0,1,9,16,0,3,0,1,3,0
  1700024G13RIK,0,0,1,0,0,0,0,0,0,0,0,0
  1700024J04RIK,137,117,88,108,148,129,89,72,133,157,93,163
  1700024P04RIK,0,0,0,0,0,0,0,0,0,0,0,0
  1700024P16RIK,5,5,4,5,4,2,1,3,7,10,5,17
  1700025B11RIK,0,0,0,1,2,2,0,0,0,0,1,0
  1700025C18RIK,0,4,10,23,21,44,11,7,3,1,3,3
  1700025F22RIK,0,0,0,0,1,1,1,0,0,0,0,0
  1700025G04RIK,312,248,150,293,212,223,201,158,374,339,277,336
  1700028B04RIK,173,121,116,175,156,142,139,114,199,188,121,212
  1700028J19RIK,69,81,72,94,64,57,52,62,72,73,45,67
  1700028K03RIK,126,165,207,197,75,71,121,106,159,187,152,175
  1700028P14RIK,0,0,0,0,0,1,0,0,0,0,0,0
  1700029F12RIK,21,29,15,25,23,14,13,14,25,16,13,23
  1700029H14RIK,26,34,36,35,67,69,42,33,20,22,11,28
  1700029I15RIK,96,79,209,200,92,86,92,98,137,113,77,119
  1700029J07RIK,349,344,399,510,317,266,367,493,476,409,334,344
  1700029P11RIK,0,1,3,0,3,0,0,4,0,0,0,1
  1700030C10RIK,28,31,21,23,27,24,39,41,47,36,24,37
  1700030J22RIK,8,4,9,8,15,22,11,16,10,8,9,9
  1700030K09RIK,1015,890,1970,1172,462,343,570,666,1196,1117,769,958
  1700031F05RIK,0,0,0,0,2,8,0,0,0,0,0,0
  1700031M16RIK,3,1,1,2,4,5,4,1,1,5,3,3
  1700034E13RIK,0,0,0,0,0,0,0,0,0,0,0,0
  1700034I23RIK,80,73,11,33,22,24,22,23,77,92,55,77
  1700034J05RIK,86,66,42,54,57,44,54,53,76,81,51,104
  1700034O15RIK,0,0,0,0,1,0,0,0,0,0,0,0
  1700037C18RIK,730,682,565,688,376,279,461,528,793,698,492,728
  1700037H04RIK,296,320,490,628,286,200,396,510,359,278,213,306
  1700039E15RIK,21,23,4,10,9,9,5,3,26,28,16,54
  1700040F15RIK,0,0,0,0,0,0,0,0,0,0,0,0
  1700040L02RIK,20,28,12,23,14,17,14,21,28,21,12,18
  1700042G07RIK,0,0,0,0,0,0,0,0,0,0,0,0
  1700047I17RIK2,259,207,99,272,330,204,319,385,300,233,225,328
  1700048O20RIK,385,427,233,305,127,110,138,166,497,293,384,346
  1700049E17RIK1,0,0,0,0,0,1,0,0,0,0,0,0
  1700049E17RIK2,0,1,0,1,2,4,0,2,0,1,0,0
  1700049G17RIK,1279,1198,1173,1349,624,472,706,776,1261,1206,884,1199
  1700049L16RIK,0,1,0,0,2,4,1,0,0,0,0,0
