User_ID sorted by SD,p53_mock_1,p53_mock_2,p53_mock_3,p53_mock_4,p53_IR_1,p53_IR_2,p53_IR_3,p53_IR_4,null_mock_1,null_mock_2,null_IR_1,null_IR_2
 ENSMUSG00000075014,6.2053,10.2584,11.6271,12.4483,19.5899,21.0793,8.3301,17.4052,13.2391,12.9164,7.0696,14.5758
 ENSMUSG00000075015,4.6527,7.8614,9.1891,9.8268,16.9867,18.4746,6.0167,14.9699,10.6031,10.2711,5.1847,12.0093
 ENSMUSG00000041801,4.8056,4.8408,4.9,4.7165,12.1812,12.0333,12.9568,13.1007,4.4494,3.9948,2.9238,3.5861
 ENSMUSG00000098078,11.0705,11.3835,11.2388,11.3637,11.0188,11.1645,11.7002,4.075,2.9238,3.4115,3.4793,3.7315
 ENSMUSG00000066315,11.4909,7.7567,6.2094,2.9238,2.9238,2.9238,2.9238,12.6251,2.9238,10.6247,3.7047,2.9238
 ENSMUSG00000023067,5.1771,5.4086,5.172,5.1711,12.1282,12.0489,12.7694,12.9428,4.842,4.5956,4.9807,4.9245
 ENSMUSG00000096385,4.909,6.0657,6.8246,7.0166,13.8698,15.3129,4.7362,11.9299,7.9609,7.8364,3.8746,8.7806
 ENSMUSG00000095186,6.9059,8.0961,8.5032,9.2576,15.8659,17.3329,6.7279,13.6189,9.8026,9.4723,5.8443,10.9329
 ENSMUSG00000081406,12.797,11.8061,11.9018,10.154,13.2481,13.374,2.9238,13.5611,3.9343,12.2606,12.8809,8.9983
 ENSMUSG00000096519,5.5301,6.6295,7.4192,7.9958,15.125,16.693,6.4844,12.4229,8.445,8.3402,6.0844,10.0296
 ENSMUSG00000095547,6.1266,7.9545,8.7621,9.2359,16.0174,17.4705,7.7322,13.9184,9.8889,9.5091,6.5936,10.9992
 ENSMUSG00000069306,4.429,4.1096,4.2466,2.9238,3.9523,4.7123,2.9238,4.075,11.479,11.2336,11.5628,10.5287
 ENSMUSG00000095891,6.0994,6.8005,7.7163,8.1304,14.8957,16.337,6.5063,12.8237,8.8067,8.5469,4.8032,9.9688
 ENSMUSG00000091028,4.6527,4.922,6.55,6.5733,13.292,14.8042,4.4672,11.1177,7.2778,6.839,3.8746,8.5557
