Data.Matrix,mock_1,mock_2,mock_3,IR_1,IR_2,IR_3
ENSMUSG00000028995,3210,2553,2096,1054,663,1012
ENSMUSG00000045007,122,97,53,22,10,15
ENSMUSG00000062785,183,182,143,530,384,590
ENSMUSG00000038268,1117,843,669,526,369,654
ENSMUSG00000054589,85,46,36,693,394,865
ENSMUSG00000102752,52,59,45,21,16,20
ENSMUSG00000069917,18079,3038,1234,962,1248,909
ENSMUSG00000109032,56,34,17,56,59,76
ENSMUSG00000094686,6,7,3,16,12,18
ENSMUSG00000035818,7,5,4,15,12,12
ENSMUSG00000031971,292,246,142,126,86,91
ENSMUSG00000055172,223,174,141,73,43,86
ENSMUSG00000054520,4680,4236,3103,1197,716,1123
ENSMUSG00000040466,3542,2254,2497,1010,432,700
ENSMUSG00000017390,216,139,152,42,34,30
ENSMUSG00000047832,1650,1234,1141,692,436,972
ENSMUSG00000074479,13,0,0,16,10,0
ENSMUSG00000024999,1884,1580,1194,1744,1454,2330
ENSMUSG00000021290,1097,733,765,550,283,1042
ENSMUSG00000093392,7,25,0,10,0,22
ENSMUSG00000030708,964,769,704,240,186,317
ENSMUSG00000028654,190,86,95,31,42,46
ENSMUSG00000020075,9175,6679,5178,12044,9241,12472
ENSMUSG00000022098,44,51,31,286,196,481
ENSMUSG00000090592,891,1236,710,1054,1048,343
ENSMUSG00000015970,52,42,31,18,36,26
ENSMUSG00000066116,11,0,9,12,3,0
ENSMUSG00000030019,2399,2034,1532,897,589,1131
ENSMUSG00000025915,4047,3702,2988,1440,990,1361
ENSMUSG00000053830,215,123,125,37,94,101
ENSMUSG00000040136,2,2,3,15,13,6
ENSMUSG00000063317,1666,1483,1129,1342,992,1907
ENSMUSG00000045045,21,18,12,22,18,33
ENSMUSG00000028931,3123,2513,1863,696,394,640
ENSMUSG00000039725,914,734,582,582,413,851
ENSMUSG00000018286,2429,1627,1579,1705,1009,1986
ENSMUSG00000022425,162,111,111,66,40,44
ENSMUSG00000022010,944,814,673,482,290,568
ENSMUSG00000037235,8631,6800,5692,1985,1152,1887
ENSMUSG00000029033,870,719,555,231,158,217
ENSMUSG00000020101,3386,3009,2450,1362,865,1137
ENSMUSG00000075015,19,281,582,96833,192652,37
ENSMUSG00000079553,251,154,161,666,496,1001
ENSMUSG00000031150,5,2,4,15,9,6
ENSMUSG00000054999,27,16,15,70,67,98
ENSMUSG00000098678,11,8,12,6,14,6
ENSMUSG00000060096,59,45,0,325,242,158
ENSMUSG00000026249,698,737,490,1553,1470,2313
ENSMUSG00000019850,3657,2933,2269,5372,5317,6768
ENSMUSG00000081272,37,24,30,5,3,14
ENSMUSG00000029484,236,206,152,139,78,99
ENSMUSG00000028979,89,49,27,96,83,119
ENSMUSG00000078840,24,25,10,17,21,8
ENSMUSG00000081684,0,15,13,15,14,3
ENSMUSG00000091095,4,12,9,44,48,10
ENSMUSG00000081868,28,36,21,10,12,15
ENSMUSG00000027544,1613,1775,1164,1361,1061,1085
ENSMUSG00000047227,49,37,41,18,10,9
ENSMUSG00000056328,5,8,1,15,15,3
ENSMUSG00000022623,92,113,58,79,63,55
ENSMUSG00000009687,2972,2180,1862,1315,931,935
ENSMUSG00000028743,687,522,418,218,137,244
ENSMUSG00000051444,236,176,128,103,51,140
ENSMUSG00000090881,311,248,191,78,67,123
ENSMUSG00000105480,25,11,12,1,1,5
ENSMUSG00000044149,705,605,444,877,674,1016
ENSMUSG00000032997,411,329,244,221,152,186
ENSMUSG00000068373,45,71,42,86,120,39
ENSMUSG00000022793,217,158,187,84,40,68
ENSMUSG00000059658,4,16,2,7,8,10
ENSMUSG00000049580,95,97,80,90,36,84
ENSMUSG00000022768,224,224,181,300,274,345
ENSMUSG00000020180,1298,818,672,1961,1210,1610
ENSMUSG00000037531,724,560,417,350,280,584
ENSMUSG00000039789,2425,2182,1724,807,581,1043
ENSMUSG00000098207,11,21,16,12,3,12
ENSMUSG00000051232,773,627,537,594,456,819
ENSMUSG00000028008,3,2,2,66,81,29
ENSMUSG00000057969,17,17,16,31,36,26
ENSMUSG00000022094,628,579,402,2110,1656,2802
ENSMUSG00000060678,4471,2649,3139,1694,1334,2257
ENSMUSG00000086962,61,45,30,58,99,36
ENSMUSG00000079138,64,58,29,69,60,90
ENSMUSG00000018774,3041,1932,2465,1394,688,1132
ENSMUSG00000081665,1157,1041,939,404,203,355
ENSMUSG00000030352,172,147,141,81,49,65
ENSMUSG00000021278,18,26,18,61,54,45
ENSMUSG00000067001,69,60,51,22,13,34
ENSMUSG00000017754,606,575,453,216,95,197
ENSMUSG00000021262,9766,8130,6218,3268,1950,3140
ENSMUSG00000101135,33,51,33,107,87,160
ENSMUSG00000025163,246,126,141,56,65,112
ENSMUSG00000025978,767,640,506,187,187,218
ENSMUSG00000022377,4001,3471,2532,1697,1175,1428
ENSMUSG00000081378,64,34,40,12,27,23
ENSMUSG00000031024,286,237,144,261,154,286
ENSMUSG00000047867,24569,19064,14207,7623,5758,6767
ENSMUSG00000042978,8067,7207,5157,2533,1587,3592
ENSMUSG00000080783,125,92,82,50,40,36
ENSMUSG00000101751,89,96,30,20,26,37
ENSMUSG00000057899,12,10,2,10,18,10
ENSMUSG00000020227,2234,2064,1405,964,758,652
ENSMUSG00000022075,3690,3030,2482,747,531,781
ENSMUSG00000083707,0,0,4,4,0,0
ENSMUSG00000101035,0,0,0,0,14,0
ENSMUSG00000074794,3232,3223,2153,4345,3678,6555
ENSMUSG00000045659,217,201,149,1780,1393,2432
ENSMUSG00000040269,380,283,269,435,260,641
ENSMUSG00000107705,2064,1590,1826,542,342,718
ENSMUSG00000070837,0,0,2,0,12,6
ENSMUSG00000010025,2398,2081,1525,819,534,996
ENSMUSG00000031891,82,60,44,41,28,44
ENSMUSG00000059776,176,143,134,57,48,40
ENSMUSG00000040340,2,0,1,15,13,7
ENSMUSG00000038967,237,150,135,64,36,44
ENSMUSG00000024360,4790,3407,3039,3150,2493,3806
ENSMUSG00000005410,3074,1849,1845,1425,931,1758
ENSMUSG00000031026,9,7,4,41,34,19
ENSMUSG00000048022,88,79,69,55,30,44
ENSMUSG00000043415,1177,919,657,276,134,298
ENSMUSG00000051124,2839,2265,1921,775,591,825
ENSMUSG00000062456,71,22,22,0,51,118
ENSMUSG00000067591,57,39,32,10,17,17
ENSMUSG00000029426,4147,3592,2819,1927,1158,2058
ENSMUSG00000009210,165,169,98,92,79,66
ENSMUSG00000026915,11777,10495,7874,3769,2586,4137
ENSMUSG00000074505,6,8,8,25,40,4
ENSMUSG00000001348,5591,4311,3626,1349,814,930
ENSMUSG00000036995,25,32,19,245,188,376
ENSMUSG00000058579,9,12,13,13,48,7
