"Term","GO","id","level"
"mitochondrion inheritance","biological_process","GO:0000001",6
"mitochondrial genome maintenance","biological_process","GO:0000002",6
"reproduction","biological_process","GO:0000003",2
"obsolete ribosomal chaperone activity","molecular_function","GO:0000005",2
"high-affinity zinc transmembrane transporter activity","molecular_function","GO:0000006",11
"low-affinity zinc ion transmembrane transporter activity","molecular_function","GO:0000007",11
"obsolete thioredoxin","molecular_function","GO:0000008",2
"alpha-1,6-mannosyltransferase activity","molecular_function","GO:0000009",7
"trans-hexaprenyltranstransferase activity","molecular_function","GO:0000010",5
"vacuole inheritance","biological_process","GO:0000011",6
"single strand break repair","biological_process","GO:0000012",8
"single-stranded DNA endodeoxyribonuclease activity","molecular_function","GO:0000014",8
"phosphopyruvate hydratase complex","cellular_component","GO:0000015",5
"phosphopyruvate hydratase complex","cellular_component","GO:0000015",7
"lactase activity","molecular_function","GO:0000016",6
"alpha-glucoside transport","biological_process","GO:0000017",8
"regulation of DNA recombination","biological_process","GO:0000018",7
"regulation of mitotic recombination","biological_process","GO:0000019",7
"regulation of mitotic recombination","biological_process","GO:0000019",9
"obsolete negative regulation of recombination within rDNA repeats","biological_process","GO:0000020",NA
"mitotic spindle elongation","biological_process","GO:0000022",6
"mitotic spindle elongation","biological_process","GO:0000022",8
"maltose metabolic process","biological_process","GO:0000023",6
"maltose biosynthetic process","biological_process","GO:0000024",8
"maltose catabolic process","biological_process","GO:0000025",8
"alpha-1,2-mannosyltransferase activity","molecular_function","GO:0000026",7
"ribosomal large subunit assembly","biological_process","GO:0000027",8
"ribosomal large subunit assembly","biological_process","GO:0000027",7
"ribosomal small subunit assembly","biological_process","GO:0000028",7
"ribosomal small subunit assembly","biological_process","GO:0000028",8
"mannosyltransferase activity","molecular_function","GO:0000030",6
"mannosylphosphate transferase activity","molecular_function","GO:0000031",4
"cell wall mannoprotein biosynthetic process","biological_process","GO:0000032",8
"cell wall mannoprotein biosynthetic process","biological_process","GO:0000032",7
"alpha-1,3-mannosyltransferase activity","molecular_function","GO:0000033",7
"adenine deaminase activity","molecular_function","GO:0000034",4
"acyl binding","molecular_function","GO:0000035",3
"acyl carrier activity","molecular_function","GO:0000036",6
"very long-chain fatty acid metabolic process","biological_process","GO:0000038",6
"obsolete plasma membrane long-chain fatty acid transporter","molecular_function","GO:0000039",2
"transition metal ion transport","biological_process","GO:0000041",8
"obsolete ascorbate stabilization","biological_process","GO:0000044",NA
"autophagosome assembly","biological_process","GO:0000045",6
"obsolete Rieske iron-sulfur protein","molecular_function","GO:0000047",2
"peptidyltransferase activity","molecular_function","GO:0000048",6
"tRNA binding","molecular_function","GO:0000049",6
"urea cycle","biological_process","GO:0000050",5
"obsolete urea cycle intermediate metabolic process","biological_process","GO:0000051",NA
"citrulline metabolic process","biological_process","GO:0000052",6
"argininosuccinate metabolic process","biological_process","GO:0000053",6
"ribosomal subunit export from nucleus","biological_process","GO:0000054",6
"ribosomal large subunit export from nucleus","biological_process","GO:0000055",7
"ribosomal small subunit export from nucleus","biological_process","GO:0000056",7
"obsolete protein import into nucleus, docking","biological_process","GO:0000059",8
"obsolete protein import into nucleus, translocation","biological_process","GO:0000060",7
"obsolete protein import into nucleus, translocation","biological_process","GO:0000060",8
"obsolete protein import into nucleus, substrate release","biological_process","GO:0000061",8
"fatty-acyl-CoA binding","molecular_function","GO:0000062",4
"L-ornithine transmembrane transporter activity","molecular_function","GO:0000064",9
"obsolete DNA replication and chromosome cycle","biological_process","GO:0000067",NA
"mitotic sister chromatid segregation","biological_process","GO:0000070",6
"mitotic sister chromatid segregation","biological_process","GO:0000070",7
"obsolete M phase specific microtubule process","biological_process","GO:0000072",NA
"initial mitotic spindle pole body separation","biological_process","GO:0000073",5
"initial mitotic spindle pole body separation","biological_process","GO:0000073",4
