,SRR6223112,SRR6223113,SRR6223114,SRR6223115,SRR6223116,SRR6223117,SRR6223118,SRR6223119,SRR6223120,SRR6223121,SRR6223122,SRR6223123,SRR6223124,SRR6223125,SRR6223126,SRR6223127,SRR6223128,SRR6223129,SRR6223130,SRR6223131,SRR6223132,SRR6223133,SRR6223134,SRR6223135
AT1G01010,44,38,44,6,13,10,68,40,30,39,50,47,99,111,122,99,99,96,106,95,91,127,107,142
AT1G01020,71,67,90,22,35,24,145,40,64,90,101,97,129,138,154,138,111,132,88,100,77,106,95,127
AT1G03987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01030,33,28,34,11,20,16,58,30,33,24,33,37,61,74,83,57,86,64,71,76,55,59,71,81
AT1G01040,455,503,538,251,374,300,1023,544,524,821,845,837,595,623,654,640,649,622,520,442,392,494,570,779
AT1G03993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AT1G01046,1,0,8,0,1,0,9,1,2,6,2,2,3,5,2,3,4,5,1,3,1,5,0,2
AT1G01050,252,234,278,65,142,99,510,237,232,303,317,323,548,586,633,602,683,552,497,504,420,526,574,713
AT1G03997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01060,41,48,48,14,24,23,198,87,92,137,131,154,114,137,111,34,36,54,56,60,44,37,45,59
AT1G01070,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0
AT1G04003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01080,119,123,130,49,60,61,306,142,122,199,162,207,47,65,68,39,44,44,53,39,41,41,44,42
AT1G01090,294,323,339,109,197,148,626,259,299,474,456,500,365,387,419,339,378,297,339,335,248,258,251,319
AT1G01100,1741,1706,2125,435,898,611,3406,1409,1720,2179,2272,2505,2003,2655,2172,2355,2601,2006,1983,2066,1784,1800,1590,1936
AT1G01110,49,37,37,23,24,20,112,53,59,90,86,101,21,24,30,13,16,22,34,27,21,25,28,26
AT1G01120,9,11,12,4,5,9,18,11,12,16,15,9,22,20,23,4,6,3,10,11,5,5,9,16
AT1G01130,1,2,3,2,0,1,4,4,1,2,7,4,2,4,4,0,2,0,3,1,1,1,3,1
AT1G01140,65,100,91,33,68,32,195,98,85,147,141,145,53,57,73,77,80,69,53,38,38,50,34,39
AT1G01150,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
AT1G01160,364,372,424,100,174,120,870,334,434,562,497,555,1478,1707,1706,1683,1877,1610,1458,1429,1227,1574,1668,2188
AT1G04007,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1
AT1G01170,431,403,461,48,98,58,728,265,353,446,439,435,2506,2928,2552,2894,3582,2819,2574,2611,2423,3403,2868,3556
AT1G04013,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AT1G01180,22,8,9,3,2,2,28,13,10,23,21,22,180,239,231,131,144,116,175,162,146,197,213,253
AT1G01183,3,0,1,1,0,0,2,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01190,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,2,10,3,4,3,4,11,9,4
AT1G01200,10,4,7,1,1,1,6,2,6,5,4,5,5,6,5,7,7,2,12,7,8,10,9,9
AT1G01210,146,154,190,38,64,48,375,155,146,235,220,243,208,280,306,250,265,274,213,222,178,247,207,317
AT1G04017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01220,74,71,76,26,35,19,114,66,70,105,87,101,227,259,242,153,148,137,118,150,110,140,155,168
AT1G04023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01225,2,6,3,1,2,0,8,6,2,5,9,5,7,9,10,13,7,1,15,15,16,12,13,14
AT1G01230,79,73,103,29,48,21,156,72,74,105,118,125,581,670,593,695,826,603,643,727,660,867,820,1009
AT1G01240,228,254,238,52,69,56,400,197,180,268,221,275,2758,3121,2982,3412,4360,3332,3113,3150,2668,4003,3746,4666
AT1G01250,5,4,6,1,0,0,9,7,4,8,8,12,63,105,83,57,87,50,80,72,49,94,85,85
AT1G01260,113,115,131,41,59,58,194,79,82,166,139,151,383,429,399,283,310,244,334,357,310,428,380,435
AT1G01270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01290,84,113,104,39,36,50,190,95,92,137,133,146,111,136,125,80,68,73,99,118,72,107,110,147
AT1G01300,1732,1998,1869,638,1004,779,3047,1393,1308,2610,3066,3273,1069,1326,1495,717,622,745,1405,1509,1223,839,1213,1216
AT1G01305,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
AT1G01310,0,0,1,0,2,1,3,0,3,1,0,2,12,10,7,5,7,3,16,8,9,18,21,25
AT1G01320,1194,1239,1338,606,1058,694,2720,1250,1337,2248,2130,2237,2115,2229,2364,2562,2797,2361,2138,2242,1782,2208,2428,2775
AT1G01335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01340,11,9,9,5,5,8,40,23,26,26,35,32,18,18,22,16,17,19,23,33,20,31,28,48
AT1G01350,227,280,267,95,107,95,450,235,229,287,308,296,1242,1333,1323,1283,1527,1281,1143,1031,941,1374,1253,1610
AT1G01355,10,11,9,1,1,0,18,5,5,8,5,13,94,92,111,47,36,34,47,41,48,77,79,82
AT1G01360,58,59,42,21,22,14,94,47,40,51,63,59,232,275,229,283,338,225,245,272,227,345,292,353
AT1G01370,9,15,17,3,4,5,20,7,5,5,9,6,15,16,23,4,4,7,5,2,2,6,7,7
AT1G01380,4,8,6,0,3,2,24,13,17,13,10,15,0,0,1,0,0,0,0,0,0,0,0,1
AT1G01390,0,0,0,0,0,0,2,0,1,2,0,1,0,0,0,0,0,0,1,0,0,0,1,1
AT1G01400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
