,WT_DMSO_Day7_rep1,WT_DMSO_Day7_rep2,WT_DMSO_Day7_rep3,WT_Tunica_Day7_rep2,WT_Tunica_Day7_rep3,Mu_DMSO_Day7_rep1,Mu_DMSO_Day7_rep2,Mu_DMSO_Day7_rep3,Mu_Tunica_Day7_rep1,Mu_Tunica_Day7_rep2
ENSG00000000003,457,720,440,244,536,352,510,209,469,443
ENSG00000000005,0,0,0,0,0,0,0,0,0,1
ENSG00000000419,1035,1691,1144,728,1642,1885,2152,1016,1071,1292
ENSG00000000457,169,233,160,94,202,421,401,232,170,283
ENSG00000000460,473,770,459,300,601,966,975,459,531,614
ENSG00000000938,0,4,1,1,5,6,1,1,1,2
ENSG00000000971,141,304,197,39,130,179,152,85,200,256
ENSG00000001036,1397,2316,1376,932,2136,1976,2144,1002,1458,1197
ENSG00000001084,560,900,626,310,805,775,827,484,525,572
ENSG00000001167,345,727,318,202,705,705,690,711,422,540
ENSG00000001460,135,192,123,95,172,243,217,108,117,157
ENSG00000001461,687,1269,614,342,883,801,787,428,696,734
ENSG00000001497,857,1151,773,468,1156,1512,1479,829,877,980
ENSG00000001561,550,957,571,259,585,710,805,318,581,662
ENSG00000001617,822,1311,806,286,723,856,759,434,743,684
ENSG00000001626,0,3,4,0,1,11,5,4,5,12
ENSG00000001629,1586,2592,1670,776,2024,2084,2214,1199,1500,1753
ENSG00000001630,844,1394,917,564,1394,1444,1522,794,1142,933
ENSG00000001631,692,915,771,333,1003,1862,1762,969,856,1521
ENSG00000002016,207,340,228,127,281,527,478,305,283,311
ENSG00000002079,10,9,4,10,22,42,23,17,9,16
ENSG00000002330,578,950,553,381,835,600,685,281,546,463
ENSG00000002549,1834,3261,2055,983,2229,1535,1638,761,952,933
ENSG00000002586,759,1268,675,405,928,556,585,374,654,628
ENSG00000002587,2,3,0,1,0,1,1,9,11,0
ENSG00000002726,4,1,0,0,1,4,1,5,4,6
ENSG00000002745,1,1,0,0,2,4,3,3,4,2
ENSG00000002746,28,29,23,7,31,24,27,23,30,35
ENSG00000002822,651,1075,634,309,686,1208,1053,521,639,727
ENSG00000002834,4728,7846,4831,1909,4451,5001,4491,2473,5276,5023
ENSG00000002919,308,568,320,184,360,433,527,317,317,335
ENSG00000002933,0,2,0,0,1,6,7,4,0,2
ENSG00000003056,2825,4932,2979,2072,4644,3912,4254,2118,2689,2587
ENSG00000003096,40,72,48,45,104,13,34,8,1,2
ENSG00000003137,42,52,32,24,54,26,37,16,18,18
ENSG00000003147,6,21,11,3,9,40,39,22,14,25
ENSG00000003249,211,337,193,94,227,238,273,109,220,217
ENSG00000003393,883,1447,893,513,1245,1721,1686,889,835,1271
ENSG00000003400,47,79,56,17,49,123,108,73,74,97
ENSG00000003402,778,1231,715,439,910,1376,1415,851,739,1392
ENSG00000003436,400,642,374,215,485,390,391,253,354,504
ENSG00000003509,198,315,191,118,251,392,383,205,239,276
ENSG00000003756,1710,2431,1754,867,2008,3304,3135,1661,1584,2491
ENSG00000003987,40,61,55,27,69,106,109,64,39,65
ENSG00000003989,276,384,210,113,307,352,355,178,208,259
ENSG00000004059,1056,1835,1085,610,1157,1211,1329,593,1207,1085
ENSG00000004139,461,764,434,163,412,679,644,359,497,660
ENSG00000004142,1528,2573,1483,905,1908,1880,1993,970,1717,1460
ENSG00000004399,1025,1765,920,536,1268,1480,1395,776,1203,1388
ENSG00000004455,2946,4651,2889,1758,3866,4141,4295,2309,2539,3006
ENSG00000004468,9,9,2,4,7,15,18,11,6,14
ENSG00000004478,2595,4538,2656,1382,3473,4201,3749,1768,3168,2799
ENSG00000004487,1777,2887,1695,938,2236,2496,2364,1106,1715,1910
ENSG00000004534,942,1290,914,549,1249,1760,1709,960,903,1205
ENSG00000004660,57,67,54,28,93,93,88,31,55,76
ENSG00000004700,1879,3002,2041,1209,3090,3533,3532,1566,2102,2260
ENSG00000004766,574,879,586,352,826,1081,1103,493,599,723
ENSG00000004776,2,4,2,1,2,5,2,6,4,9
ENSG00000004777,79,115,60,32,90,186,174,160,77,139
ENSG00000004779,432,731,482,257,500,440,538,199,455,383
