ensembl_ID,ASTHMA_vs_HEALTHY_log2FC,COPD_vs_ASTHMA_log2FC,COPD_vs_HEALTHY_log2FC
ENSG00000198183,0.154059885,1.034582582,1.188642466
ENSG00000156508,-0.24128183,0.33900996,0.09772813
ENSG00000210082,-0.262395355,0.035660773,-0.226734582
ENSG00000125999,-0.43045636,1.539571961,1.109115601
ENSG00000198804,-0.308295592,0.413898397,0.105602805
ENSG00000146674,-0.169902493,0.241085125,0.071182632
ENSG00000115414,0.461849535,-5.205122967,-4.743273432
ENSG00000124107,-0.00758468,0.634707435,0.627122756
ENSG00000198886,-0.294418774,0.125240452,-0.169178322
ENSG00000167996,0.325468177,-0.520122952,-0.194654775
ENSG00000058085,0.699066004,-2.323200297,-1.624134293
ENSG00000198786,-0.774007768,0.474032746,-0.299975022
ENSG00000198938,0.216245219,0.009591885,0.225837105
ENSG00000198712,-0.384836409,0.359666287,-0.025170122
ENSG00000104419,0.172295047,0.365887289,0.538182336
ENSG00000149021,0.444779787,0.269879541,0.714659328
ENSG00000057149,-0.161245549,0.417838964,0.256593414
ENSG00000198763,-0.444768761,0.039837257,-0.404931504
ENSG00000128422,0.78550695,-0.35892196,0.426584989
ENSG00000115461,0.020501562,0.58771819,0.608219752
ENSG00000111640,0.32976933,0.25682057,0.5865899
ENSG00000196754,0.598050915,-0.774408987,-0.176358072
ENSG00000150991,0.0850002,0.338360809,0.423361008
ENSG00000198899,0.092883734,-0.236793244,-0.143909509
ENSG00000053747,1.443631657,-2.726157843,-1.282526185
ENSG00000198727,-0.499338955,0.283615652,-0.215723303
ENSG00000211459,-0.485615616,0.364867136,-0.120748481
ENSG00000197930,0.29375884,-0.720315887,-0.426557047
ENSG00000186081,0.126055511,-0.162074679,-0.036019168
ENSG00000148346,0.857905177,-0.754222762,0.103682415
ENSG00000166710,0.315829689,-0.566757079,-0.25092739
ENSG00000182718,-0.165668636,0.085967521,-0.079701116
ENSG00000117394,0.35687902,0.305158639,0.662037659
ENSG00000117525,0.777488495,-1.219964716,-0.442476221
ENSG00000205542,0.394149168,-0.62622465,-0.232075482
ENSG00000075624,0.372316242,-0.267231541,0.105084701
ENSG00000198888,-0.029948772,0.291916139,0.261967367
ENSG00000125730,1.090754936,-1.184677652,-0.093922715
ENSG00000205420,0.921664487,-1.659071836,-0.737407349
ENSG00000184009,0.166254129,0.106121923,0.272376051
ENSG00000124102,2.771228743,-2.403042,0.368186742
ENSG00000124942,0.14602254,-0.046694429,0.099328111
ENSG00000149925,0.565968289,0.539573972,1.10554226
ENSG00000086548,0.358738251,-1.112724852,-0.753986601
ENSG00000117472,-0.686747131,0.76889252,0.082145388
ENSG00000150093,0.567221595,-1.073038259,-0.505816663
ENSG00000171345,0.292465448,0.613789622,0.90625507
ENSG00000160213,0.260391125,-0.087719256,0.172671869
ENSG00000196136,0.674048145,-1.271448809,-0.597400665
ENSG00000272398,0.025350083,-0.492379585,-0.467029502
ENSG00000087086,0.364701829,0.481451596,0.846153425
ENSG00000133112,-0.012990641,0.013404731,0.00041409
ENSG00000124875,2.303443902,-3.291156122,-0.98771222
ENSG00000080824,-0.400090568,-0.101309971,-0.501400539
ENSG00000263639,0.257916497,-0.944662143,-0.686745646
ENSG00000112378,0.215209363,-0.592152114,-0.376942751
ENSG00000197746,0.405072899,0.054361767,0.459434666
ENSG00000067225,0.169414866,0.288194503,0.457609369
ENSG00000130066,0.332093324,-0.493490771,-0.161397447
ENSG00000198695,-0.894633349,0.37247615,-0.522157198
ENSG00000265972,0.288769132,-0.128456553,0.160312579
ENSG00000152558,0.005315175,-0.443946728,-0.438631553
ENSG00000089157,0.163526717,0.374220413,0.537747131
ENSG00000197956,-0.165563839,0.517030364,0.351466525
ENSG00000135046,-0.103043225,-0.128110099,-0.231153324
ENSG00000047457,0.594553273,-0.38318312,0.211370153
ENSG00000101443,0.451128725,0.687617848,1.138746573
