ensemblhr_ID,24hr_vs_0hr_log2FC,48hr_vs_24hr_log2FC,72hr_vs_48hr_log2FC,96hr_vs_72hr_log2FC
ENSG00000198183,-0.345178199,0.317824133,-1.031749547,0.257918663
ENSG00000198804,0.249143402,-0.270906414,-0.634361631,-0.151188864
ENSG00000210082,0.385046757,-0.089211113,-0.262351218,0.277800279
ENSG00000156508,0.067279495,-0.227049441,-0.404921505,-0.208888698
ENSG00000146674,-0.598818017,0.149964713,-0.33159339,0.037562761
ENSG00000115414,-0.239109559,0.045148488,-0.094314238,0.203295249
ENSG00000198886,0.385047125,-0.343764108,-0.757376554,-0.231210486
ENSG00000119922,2.42091596,3.689815296,0.012881373,-0.948878657
ENSG00000185745,2.276783137,3.713609895,0.133049241,-0.359189198
ENSG00000166710,-0.029869292,0.894696729,0.375903748,0.154823559
ENSG00000149021,-0.19811936,0.385683063,-0.278843695,-0.020177851
ENSG00000125999,-0.166091571,0.436323956,-1.112854676,-0.014515433
ENSG00000119917,2.067202693,3.379049937,0.122180776,-0.675816996
ENSG00000130066,-0.066350524,1.095914495,-0.248384477,-0.389472871
ENSG00000111640,-0.405821884,0.226153748,-0.687891873,-0.171869095
ENSG00000198938,0.364366618,-0.412241276,-0.6812725,-0.330595976
ENSG00000104419,-0.513901528,0.412255852,-0.605331489,-0.162430334
ENSG00000124107,0.271150094,-0.020792652,-0.404014597,-0.024410676
ENSG00000058085,0.058415052,0.811239025,-0.740268244,-0.067409349
ENSG00000167996,0.083576908,0.469557886,-0.3034591,-0.027817136
ENSG00000169245,2.648529066,5.288803456,-1.55557898,-1.39410666
ENSG00000128422,-0.235675171,1.466894556,-0.351154704,0.008685575
ENSG00000198786,0.280696009,-0.391132326,-0.771906627,-0.226799309
ENSG00000198712,0.218957098,-0.379810722,-0.696226379,-0.024081936
ENSG00000057149,0.21419296,-0.425738558,-0.530954677,-0.653100219
ENSG00000053747,0.057127061,0.840541702,-0.479784934,-0.259044526
ENSG00000115461,0.176430165,0.190961214,-0.338770772,-0.732317373
ENSG00000169429,0.316025992,1.58285472,-0.703644429,-0.057052556
ENSG00000150991,0.033447628,0.555006525,-0.071666201,0.356476569
ENSG00000197930,0.082956603,0.433565132,-0.313046634,-0.007326111
ENSG00000211459,0.432890483,-0.042660728,-0.085757825,0.503647816
ENSG00000198899,0.467414192,-0.598972834,-0.62317874,-0.296506548
ENSG00000205420,-0.120165003,1.355363767,-0.094513163,0.015501373
ENSG00000184009,-0.100471806,0.593305906,-0.541724205,-0.243542261
ENSG00000148346,-0.297735082,-0.03982537,-0.065968765,0.124952644
ENSG00000125730,-0.285904539,0.475982062,-0.507892436,-0.196310224
ENSG00000223532,-0.345308587,1.667521938,0.408847453,0.505131293
ENSG00000134321,2.16272633,4.742911247,0.156507372,-0.393941075
ENSG00000198727,0.243269818,-0.467044056,-0.722124564,-0.330122153
ENSG00000112378,0.195110121,-0.050065931,0.095465884,-0.17395598
ENSG00000182718,0.146873807,-0.180504994,-0.375066954,-0.146346041
ENSG00000198763,0.329160222,-0.158510792,-0.221525059,0.266605037
ENSG00000117394,-0.466715022,0.526279271,-0.390066137,0.073721941
ENSG00000198888,0.205110095,-0.199334207,-0.152421453,0.333364566
ENSG00000124875,-0.234288043,0.067806413,-0.794453713,-1.160577271
ENSG00000272398,0.047781636,-0.641818446,0.203538223,-0.021444212
ENSG00000086548,-0.072959629,0.053179081,0.340294536,-0.044045137
ENSG00000186081,-0.37998136,0.096137034,-0.081524417,-0.252261606
ENSG00000196136,-0.495555215,0.198207321,0.038049116,0.358285169
ENSG00000205413,0.885892186,2.536039002,-0.265411219,-0.775438754
ENSG00000112096,-0.035449511,1.87275655,-0.843855555,-0.254890571
ENSG00000263639,0.088249159,-1.092844936,-0.986373531,-0.957634829
ENSG00000117525,0.121878499,0.563576581,-0.439344127,-0.120025946
ENSG00000149925,-0.372674155,1.112388892,-0.685372947,0.101543979
ENSG00000124942,0.119633597,-0.110022248,-0.182432848,-0.139211037
ENSG00000157601,1.577206342,2.690366527,0.2169886,-0.56969125
ENSG00000111335,1.551387814,2.599032859,0.289801846,-0.298695705
ENSG00000121858,0.247878309,2.459194779,-0.241220643,-0.70973412
ENSG00000115415,0.778782131,2.189260692,0.034983816,-0.647045707
ENSG00000126709,0.720814798,3.762055749,0.557428947,0.21207638
ENSG00000150093,0.112301365,-0.086429094,-0.300300376,-0.1391123
ENSG00000197746,-0.493999324,0.328745736,-0.352194924,0.121732742
ENSG00000075624,0.028431817,0.428396335,-0.327511425,-0.013243267
ENSG00000196754,-0.320274828,0.316900129,-0.428062603,-0.219694705
ENSG00000160213,-0.200019273,0.815726659,-0.326074999,0.030128512
