ensemblhr_ID,24hr_vs_0hr_log2FC,24hr_vs_0hr_adjPval,48hr_vs_24hr_log2FC,48hr_vs_24hr_adjPval,72hr_vs_48hr_log2FC,72hr_vs_48hr_adjPval,96hr_vs_72hr_log2FC,96hr_vs_72hr_adjPval
ENSG00000198183,-0.345178199,1,0.317824133,0.588219018,-1.031749547,0.331351584,0.257918663,1
ENSG00000198804,0.249143402,1,-0.270906414,0.41819971,-0.634361631,0.328613011,-0.151188864,1
ENSG00000210082,0.385046757,1,-0.089211113,0.836168752,-0.262351218,0.930845057,0.277800279,1
ENSG00000156508,0.067279495,1,-0.227049441,0.576288605,-0.404921505,0.796281824,-0.208888698,1
ENSG00000146674,-0.598818017,1,0.149964713,0.836526336,-0.33159339,0.972089643,0.037562761,1
ENSG00000115414,-0.239109559,1,0.045148488,0.981132018,-0.094314238,0.999910922,0.203295249,1
ENSG00000198886,0.385047125,1,-0.343764108,0.33158197,-0.757376554,0.205813977,-0.231210486,1
ENSG00000119922,2.42091596,1,3.689815296,0.003733614,0.012881373,0.999910922,-0.948878657,1
ENSG00000185745,2.276783137,1,3.713609895,0.001524547,0.133049241,0.999910922,-0.359189198,1
ENSG00000166710,-0.029869292,1,0.894696729,0.031098969,0.375903748,0.91458725,0.154823559,1
ENSG00000149021,-0.19811936,1,0.385683063,0.52534075,-0.278843695,0.977721914,-0.020177851,1
ENSG00000125999,-0.166091571,1,0.436323956,0.52106475,-1.112854676,0.413839752,-0.014515433,1
ENSG00000119917,2.067202693,1,3.379049937,0.00282677,0.122180776,0.999910922,-0.675816996,1
ENSG00000130066,-0.066350524,1,1.095914495,0.017448376,-0.248384477,0.978430593,-0.389472871,1
ENSG00000111640,-0.405821884,1,0.226153748,0.648954655,-0.687891873,0.505630595,-0.171869095,1
ENSG00000198938,0.364366618,1,-0.412241276,0.19997163,-0.6812725,0.27252911,-0.330595976,1
ENSG00000104419,-0.513901528,1,0.412255852,0.581166614,-0.605331489,0.888129794,-0.162430334,1
ENSG00000124107,0.271150094,1,-0.020792652,0.975093228,-0.404014597,0.874349704,-0.024410676,1
ENSG00000058085,0.058415052,1,0.811239025,0.207627925,-0.740268244,0.791498401,-0.067409349,1
ENSG00000167996,0.083576908,1,0.469557886,0.238430793,-0.3034591,0.9322834,-0.027817136,1
ENSG00000169245,2.648529066,0.878823985,5.288803456,1.93E-06,-1.55557898,0.796281824,-1.39410666,1
ENSG00000128422,-0.235675171,1,1.466894556,0.003669758,-0.351154704,0.965477071,0.008685575,1
ENSG00000198786,0.280696009,1,-0.391132326,0.303242847,-0.771906627,0.287721709,-0.226799309,1
ENSG00000198712,0.218957098,1,-0.379810722,0.278506759,-0.696226379,0.328613011,-0.024081936,1
ENSG00000057149,0.21419296,1,-0.425738558,0.139332818,-0.530954677,0.416498114,-0.653100219,0.322671472
ENSG00000053747,0.057127061,1,0.840541702,0.161036018,-0.479784934,0.930845057,-0.259044526,1
ENSG00000115461,0.176430165,1,0.190961214,0.815854443,-0.338770772,0.976202072,-0.732317373,1
ENSG00000169429,0.316025992,1,1.58285472,0.021494021,-0.703644429,0.882486163,-0.057052556,1
ENSG00000150991,0.033447628,1,0.555006525,0.17734709,-0.071666201,0.996322305,0.356476569,1
ENSG00000197930,0.082956603,1,0.433565132,0.38513489,-0.313046634,0.951188202,-0.007326111,1
ENSG00000211459,0.432890483,1,-0.042660728,0.929692965,-0.085757825,0.993547638,0.503647816,1
ENSG00000198899,0.467414192,1,-0.598972834,0.108358834,-0.62317874,0.505899783,-0.296506548,1
ENSG00000205420,-0.120165003,1,1.355363767,0.003685135,-0.094513163,0.996322305,0.015501373,1
ENSG00000184009,-0.100471806,1,0.593305906,0.116099378,-0.541724205,0.655731088,-0.243542261,1
ENSG00000148346,-0.297735082,1,-0.03982537,0.970621743,-0.065968765,0.999910922,0.124952644,1
ENSG00000125730,-0.285904539,1,0.475982062,0.321991885,-0.507892436,0.818505526,-0.196310224,1
ENSG00000223532,-0.345308587,1,1.667521938,0.002775108,0.408847453,0.957572318,0.505131293,1
ENSG00000134321,2.16272633,1,4.742911247,0.00010269,0.156507372,0.999760957,-0.393941075,1
ENSG00000198727,0.243269818,1,-0.467044056,0.189755928,-0.722124564,0.331351584,-0.330122153,1
ENSG00000112378,0.195110121,1,-0.050065931,0.903468588,0.095465884,0.988094957,-0.17395598,1
ENSG00000182718,0.146873807,1,-0.180504994,0.466760058,-0.375066954,0.493116202,-0.146346041,1
ENSG00000198763,0.329160222,1,-0.158510792,0.569840119,-0.221525059,0.89612025,0.266605037,1
ENSG00000117394,-0.466715022,1,0.526279271,0.264513365,-0.390066137,0.911766918,0.073721941,1
ENSG00000198888,0.205110095,1,-0.199334207,0.477403645,-0.152421453,0.969060596,0.333364566,1
ENSG00000124875,-0.234288043,1,0.067806413,0.944758823,-0.794453713,0.796281824,-1.160577271,1
ENSG00000272398,0.047781636,1,-0.641818446,0.086219099,0.203538223,0.976423647,-0.021444212,1
ENSG00000086548,-0.072959629,1,0.053179081,0.942238784,0.340294536,0.957984703,-0.044045137,1
ENSG00000186081,-0.37998136,1,0.096137034,0.874393296,-0.081524417,0.996322305,-0.252261606,1
ENSG00000196136,-0.495555215,1,0.198207321,0.82211405,0.038049116,0.999910922,0.358285169,1
ENSG00000205413,0.885892186,1,2.536039002,0.000142287,-0.265411219,0.985226964,-0.775438754,1
ENSG00000112096,-0.035449511,1,1.87275655,0.008086273,-0.843855555,0.830370666,-0.254890571,1
ENSG00000263639,0.088249159,1,-1.092844936,0.005360932,-0.986373531,0.205813977,-0.957634829,0.384405877
ENSG00000117525,0.121878499,1,0.563576581,0.197088752,-0.439344127,0.855313904,-0.120025946,1
ENSG00000149925,-0.372674155,1,1.112388892,0.065406335,-0.685372947,0.829577742,0.101543979,1
ENSG00000124942,0.119633597,1,-0.110022248,0.760745987,-0.182432848,0.963072187,-0.139211037,1
ENSG00000157601,1.577206342,1,2.690366527,0.009226796,0.2169886,0.995748124,-0.56969125,1
ENSG00000111335,1.551387814,1,2.599032859,0.007847167,0.289801846,0.992122908,-0.298695705,1
ENSG00000121858,0.247878309,1,2.459194779,4.91E-06,-0.241220643,0.985226964,-0.70973412,1
ENSG00000115415,0.778782131,1,2.189260692,0.000511968,0.034983816,0.999910922,-0.647045707,1
ENSG00000126709,0.720814798,1,3.762055749,0.000821809,0.557428947,0.979172835,0.21207638,1
ENSG00000150093,0.112301365,1,-0.086429094,0.832603854,-0.300300376,0.882486163,-0.1391123,1
ENSG00000197746,-0.493999324,1,0.328745736,0.320626725,-0.352194924,0.8122979,0.121732742,1
ENSG00000075624,0.028431817,1,0.428396335,0.195834423,-0.327511425,0.865754413,-0.013243267,1
ENSG00000196754,-0.320274828,1,0.316900129,0.529383292,-0.428062603,0.881960597,-0.219694705,1
ENSG00000160213,-0.200019273,1,0.815726659,0.043505306,-0.326074999,0.937498708,0.030128512,1
ENSG00000265972,0.002063688,1,0.446116329,0.48887569,-0.298704527,0.977893987,-1.060678585,0.905061989
ENSG00000067225,-0.197429929,1,0.108452608,0.766282636,-0.457179403,0.548153605,-0.077098777,1
ENSG00000124102,0.272110768,1,1.051379449,0.202378836,0.022105261,0.999910922,-0.608762181,1
ENSG00000133112,-0.045537798,1,0.056647323,0.884139698,-0.290805435,0.852420987,-0.17274103,1
ENSG00000152558,0.096547144,1,0.022042829,0.95736244,-0.076390666,0.990534948,-0.213605063,1
ENSG00000205542,-0.187143342,1,0.249516099,0.313481411,-0.141869047,0.969060596,-0.001621036,1
ENSG00000289754,0.055435332,1,2.592425068,2.11E-06,-0.134834302,0.994923496,0.027560482,1
ENSG00000047457,-0.279896462,1,-0.089199888,0.887929012,-0.743336478,0.520080236,-0.279219941,1
ENSG00000163739,-0.004995206,1,0.75720521,0.200215911,-0.919182898,0.548153605,-0.820756165,1
ENSG00000185885,0.091428916,1,3.691652446,3.87E-07,0.419684622,0.978549218,0.208122192,1
ENSG00000111331,1.220299437,1,3.382722196,0.000146787,0.292112768,0.990059814,-0.379442307,1
ENSG00000171345,-0.666523966,1,0.778566415,0.247037047,-0.415415108,0.961912036,0.08223693,1
ENSG00000164924,0.173102744,1,0.012244176,0.972970296,-0.003389239,0.999910922,-0.044863304,1
ENSG00000137745,-0.502487782,1,2.943821071,0.000150372,-1.173989534,0.723901584,-0.960631742,1
ENSG00000184292,0.106179108,1,0.413922638,0.110860283,0.046799346,0.996322305,-0.030701338,1
ENSG00000164733,-0.252467003,1,0.317838793,0.237396549,-0.114686254,0.979172835,-0.103431335,1
ENSG00000130821,-0.47873391,1,0.503581973,0.313016192,-0.522534675,0.826758594,0.165583152,1
ENSG00000087086,-0.260564809,1,0.22450441,0.726503687,-0.281058671,0.976020029,0.406988635,1
ENSG00000233841,0.412266973,1,1.012797782,0.231821432,0.389485053,0.978549218,-0.02811683,1
ENSG00000268104,0.148918907,1,0.242343738,0.65956952,-0.076189828,0.997338277,-0.454882718,1
ENSG00000089157,-0.346454416,1,0.069302952,0.905198246,-0.567732429,0.69521023,0.016044757,1
ENSG00000134757,0.099094999,1,0.397861815,0.436179834,0.1801575,0.984814767,0.091314116,1
ENSG00000101443,-0.481660109,1,0.567513292,0.3887603,-0.786410254,0.722004054,0.113202444,1
ENSG00000089127,1.355018473,1,3.091040506,2.88E-05,0.317873967,0.985226964,-0.390202585,1
ENSG00000184254,-0.101072585,1,-0.228455185,0.701470921,0.301966633,0.965477071,0.245313421,1
ENSG00000138448,0.099821695,1,-0.351737793,0.478796519,-0.411816556,0.893325703,-0.066083343,1
ENSG00000196878,-0.22486265,1,1.172043221,0.00386245,-0.615374247,0.684504256,-0.053211803,1
ENSG00000136156,0.035870471,1,0.252969548,0.396078752,0.055439643,0.994923496,-0.280331631,1
ENSG00000117472,-0.210407715,1,-0.178691953,0.666937389,-0.676456339,0.361778184,-0.232576421,1
ENSG00000140105,-0.180819862,1,3.047206406,6.33E-09,-0.501967314,0.936096602,-0.57466306,1
ENSG00000166670,-0.55388854,1,0.819153432,0.527839538,-1.309545491,0.797643174,0.408775666,1
ENSG00000080824,0.087351706,1,-0.00607338,0.988210006,-0.041531807,0.997338277,0.451962126,1
ENSG00000109971,-0.118212474,1,0.179565113,0.630282799,0.003728196,0.999910922,0.677896599,0.451061486
ENSG00000107201,1.610370731,1,2.813909469,0.004234245,-0.27397259,0.993418637,-0.795748296,1
ENSG00000137628,1.174203332,1,2.47269917,0.000941749,-0.084499061,0.999910922,-0.667062466,1
ENSG00000135046,0.286769569,1,0.123040593,0.771568764,-0.161178189,0.978549218,-0.020324038,1
ENSG00000151914,0.155873583,1,-0.921347301,0.001040038,0.249825588,0.935127582,0.313289331,1
ENSG00000197956,-0.48108926,1,0.264231918,0.619884887,-0.208301427,0.978549218,-0.381056455,1
ENSG00000132274,0.300432592,1,1.867123423,7.62E-05,0.312963942,0.976020029,-0.4386818,1
ENSG00000163347,0.214639122,1,0.676233808,0.087100935,-0.246790176,0.968561036,0.037767974,1
ENSG00000108582,-0.079787504,1,-0.2421324,0.394072269,-0.199541006,0.937889405,-0.124521252,1
ENSG00000173193,0.483580399,1,2.040409141,0.000219805,0.120447515,0.996047866,-0.305456454,1
ENSG00000137801,0.084693517,1,0.449196808,0.560026909,-0.314087585,0.978549218,-0.427756963,1
ENSG00000162896,-0.325426993,1,0.246620726,0.56990789,-0.694523935,0.413839752,-0.35728508,1
