symbol,control_1,control_2,control_3,Hoxa1KN_1,Hoxa1KN_2,Hoxa1KN_3
A2M,7.7757,7.8172,7.606,8.5988,8.6342,8.6221
A4GALT,7.5048,7.6626,7.6124,8.9233,8.812,8.8381
AAAS,8.9854,9.0822,9.0553,8.8083,8.6981,8.7669
AACS,9.6064,9.7765,9.765,9.9611,9.9102,9.9895
AADAC,2.9547,2.348,3.3362,3.8708,4.33,4.4561
AADAT,6.6839,7.0289,7.0642,7.5699,7.4941,7.6068
AAGAB,9.707,9.5807,9.697,9.3187,9.3556,9.2913
AAK1,10.6507,10.8201,10.4591,9.9565,9.9632,9.7912
AAMDC,7.6822,7.9568,7.9076,8.3769,8.4857,8.3679
AAMP,10.5922,10.4555,10.5339,10.7344,10.6005,10.6599
AAR2,9.3568,9.3323,9.3798,9.3566,9.3472,9.3025
AARS1,11.6061,11.4325,11.4624,10.7153,10.7769,10.5959
AARS2,8.4685,8.396,8.4364,7.6176,7.7184,7.6307
AARSD1,4.2487,4.9161,5.2472,3.3754,4.3964,4.5596
AASDH,7.1456,6.9674,7.0642,7.1516,7.1342,6.8953
AASDHPPT,9.7579,9.7438,9.7476,9.9456,9.9755,10.0551
AASS,7.3138,7.3225,7.3137,7.5373,7.6922,7.5885
AATF,10.6416,10.6571,10.5864,10.5172,10.3761,10.4386
ABCA1,10.8129,10.7145,10.522,12.0555,11.9773,11.9762
ABCA10,2,3.5409,3.938,3.972,3.4107,3.604
ABCA13,3.808,3.3989,3.4556,3.8708,3.7525,3.947
ABCA2,10.093,10.0769,10.1802,10.4018,10.3843,10.4403
ABCA5,5.6519,4.9161,5.3119,5.3269,5.4215,4.7898
ABCA6,4.1505,2.6282,2.7255,4.464,3.9423,4.4561
ABCA7,5.8211,5.789,5.6739,6.9052,7.3756,7.3351
ABCA8,6.4355,6.141,6.254,6.639,6.2304,6.6122
ABCA9,4.5086,3.8985,3.6682,4.8831,4.8401,4.4561
ABCB1,4.7287,5.0646,5.1443,6.0827,6.0564,5.9901
ABCB10,8.623,8.442,8.521,6.6543,6.9024,6.7715
ABCB6,7.7169,7.591,7.7531,8.2667,8.1086,8.1449
ABCB7,7.3024,7.5662,7.345,7.6936,7.7054,7.7612
ABCB8,8.8075,8.6717,8.8308,8.2618,8.1763,8.3171
ABCB9,7.8558,7.9118,7.9181,7.6176,7.6246,7.5824
ABCC1,10.6981,10.5759,10.5806,10.9902,11.1718,10.9159
ABCC10,9.2835,9.2622,9.4226,9.7653,9.5173,9.7092
ABCC2,3.808,3.5409,3.8536,3.972,3.5338,3.604
