Gene,Mock_1,Mock_2,Mock_3,Mock_4,Radiation_1,Radiation_2,Radiation_3,Radiation_4
ENSMUSG00000000001,4749,3899,3186,3779,2009,1362,2692,3050
ENSMUSG00000000003,0,0,0,0,1,1,0,0
ENSMUSG00000000028,441,283,241,244,193,143,204,224
ENSMUSG00000000031,0,0,0,1,8,4,1,1
ENSMUSG00000000037,8,10,8,8,16,18,15,28
ENSMUSG00000000049,6,4,1,7,2,0,3,5
ENSMUSG00000000056,2469,2008,1617,2069,590,384,704,875
ENSMUSG00000000058,26,24,36,37,10,4,16,12
ENSMUSG00000000078,4639,3694,3172,3696,2055,1348,1691,2349
ENSMUSG00000000085,1133,1151,795,1309,590,417,483,582
ENSMUSG00000000088,1502,1157,1041,1168,643,406,978,1173
ENSMUSG00000000093,9,14,8,13,8,18,4,5
ENSMUSG00000000094,20,20,16,24,29,24,11,15
ENSMUSG00000000103,0,0,0,0,0,0,0,0
ENSMUSG00000000120,241,216,173,345,102,86,78,94
ENSMUSG00000000125,13,8,5,11,25,14,19,17
ENSMUSG00000000126,0,0,0,0,5,3,0,1
ENSMUSG00000000127,250,217,173,157,124,52,67,57
ENSMUSG00000000131,8540,8287,5798,8801,5206,4293,5480,6175
ENSMUSG00000000134,1371,1241,952,1241,1320,993,994,1297
ENSMUSG00000000142,65,73,39,50,43,37,22,31
ENSMUSG00000000148,1475,1357,989,1315,773,515,900,1168
ENSMUSG00000000149,2543,2063,1758,2089,913,507,784,993
ENSMUSG00000000154,5,2,5,4,4,1,5,0
ENSMUSG00000000157,59,18,5,3,12,13,10,12
ENSMUSG00000000159,3,1,0,0,1,0,2,1
ENSMUSG00000000167,51,57,33,70,40,36,55,48
ENSMUSG00000000168,1263,980,832,933,569,420,835,901
ENSMUSG00000000171,1809,1358,1295,1214,775,509,1213,1362
ENSMUSG00000000182,9,15,12,21,13,13,3,9
ENSMUSG00000000183,32,34,10,46,40,52,19,21
ENSMUSG00000000184,6358,4598,4027,6526,10471,7620,9661,10920
ENSMUSG00000000194,4063,3774,2736,3844,2976,2336,3734,4236
ENSMUSG00000000197,67,92,42,106,77,60,47,52
ENSMUSG00000000202,3,3,1,1,4,1,2,0
ENSMUSG00000000204,922,315,284,89,312,436,417,133
ENSMUSG00000000214,3,7,5,15,9,6,0,4
ENSMUSG00000000215,0,0,0,0,2,1,0,1
ENSMUSG00000000216,0,0,0,0,1,4,0,2
ENSMUSG00000000223,54,57,33,61,74,75,29,32
ENSMUSG00000000244,7938,7353,5113,7268,2116,1525,2041,2999
ENSMUSG00000000247,0,1,0,1,3,9,1,0
ENSMUSG00000000248,883,825,561,664,2176,1545,1728,2017
ENSMUSG00000000253,22,18,11,20,15,18,7,5
ENSMUSG00000000263,0,4,0,2,11,23,1,4
ENSMUSG00000000266,36,50,40,57,39,40,19,22
ENSMUSG00000000275,5278,5280,3806,7926,2703,2355,2249,2480
ENSMUSG00000000276,1762,1708,1296,1835,898,795,899,996
ENSMUSG00000000278,2665,1907,1568,1919,719,445,607,744
ENSMUSG00000000282,1325,1410,927,1955,722,621,588,698
ENSMUSG00000000290,8826,6282,5498,6279,3796,2322,2703,3014
ENSMUSG00000000295,630,475,414,407,288,204,334,401
ENSMUSG00000000296,3,2,0,4,5,2,3,1
ENSMUSG00000000301,24,22,15,16,19,16,32,32
ENSMUSG00000000303,38,40,28,80,26,20,22,12
ENSMUSG00000000305,40,57,34,63,42,30,27,17
ENSMUSG00000000308,1,0,0,0,127,77,168,242
ENSMUSG00000000317,97,83,58,103,31,18,33,33
ENSMUSG00000000318,43,37,33,60,21,26,30,28
ENSMUSG00000000320,139,149,102,175,209,190,88,111
ENSMUSG00000000326,1748,1455,1263,1376,1292,945,904,1118
