genes,WTvsMu_lfc,WTvsMu_FDR,IRvsMock_lfc,IRvsMock_FDR,Interaction_lfc,Interaction_FDR
Gnai3,-0.098320733,0.999574161,0.759955305,0.008233418,-0.658503492,0.105324855
Cdc45,0.510144395,0.849628748,1.638405487,3.05235E-07,-1.499256625,0.000543697
Scml2,0.544682211,0.999574161,0.928792905,0.431448506,1.149341018,0.458993029
Narf,-0.229809935,0.999574161,-0.972746792,0.005121434,0.162427651,0.808669872
Cav2,-0.592772511,0.999574161,-1.278882755,0.183985478,0.555039119,0.736974089
Cox5a,0.187557398,0.999574161,1.455863888,3.37624E-05,-1.20171767,0.013739401
Ngfr,0.162829021,0.999574161,-1.742590234,6.68737E-05,1.651424485,0.005111181
Fer,0.160516876,0.999574161,-0.561398007,0.255771213,0.036317765,0.969533305
Axin2,-0.33482916,0.999574161,-0.717191613,0.353708037,0.950136334,0.358972058
Gna12,0.250885006,0.89576735,0.106313668,0.663715569,-0.638841043,0.007448938
Itgb2l,2.51871419,0.77324363,1.066154761,0.614218458,-1.055410631,0.714198055
Dlat,-0.120739079,0.999574161,1.147618318,0.000120597,-0.814402149,0.05742373
Sdhd,-0.179606932,0.999574161,1.191599447,0.000532528,-0.878117043,0.075256923
Ccnd2,0.263508594,0.999574161,2.779884992,4.29333E-31,-1.039500235,0.002200424
Slfn4,1.036291289,0.999574161,0.510833513,0.710920343,0.23030576,0.907304298
Th,-0.47536238,0.999574161,-1.807152329,0.207000181,1.719977454,0.398080097
Tspan32,-0.101876709,0.999574161,-0.437945155,0.040546604,-0.330882516,0.297534207
Clec2g,0.179597484,0.999574161,-0.565464883,0.00394265,2.794517916,2.38652E-37
Gmpr,-0.729848354,0.999574161,-0.660362245,0.642002919,1.078537011,0.555917045
Glra1,0.53488844,0.999574161,3.770046048,0.070096917,0.171297114,0.967578234
Trim25,0.155618511,0.999574161,-0.68927726,0.041375396,0.439987492,0.39783839
Scpep1,-0.019798591,0.999574161,-0.415169645,0.026502158,-0.36602808,0.171287721
Pemt,-0.082672925,0.999574161,1.787055356,0.018517068,-0.504697866,0.717702365
Cdh1,-0.112168183,0.999574161,-0.380204881,0.699208928,0.087697872,0.953637079
Ckmt1,0.675603383,0.999574161,1.651108057,0.586392074,8.172629207,0.003621561
Bcl6b,0.012095643,0.999574161,0.399113915,0.44269219,-1.068024936,0.081734512
Clec10a,-0.717308762,0.962700501,0.362587771,0.613471163,-0.172208971,0.875825595
Dazap2,-0.200056419,0.999574161,0.046621009,0.919157627,-0.221927018,0.6444505
Mcts1,-0.066662965,0.999574161,0.623960637,0.094583798,-0.588058785,0.268817234
Rem1,-1.00899562,0.999574161,-0.148883418,0.932377562,0.365610731,0.856203508
Rnf17,-0.256157917,0.999574161,1.200259749,0.0325457,-1.312443786,0.095430222
Ccm2,-0.268047321,0.999574161,-0.769476821,0.000222794,0.500690018,0.10037649
Tmprss2,-0.520122353,0.999574161,-0.952582055,0.162788859,1.094342385,0.245092733
Mx1,-0.294536938,0.999574161,-0.637082723,0.089327219,2.565151196,7.10231E-10
Gcg,0.514556009,0.999574161,1.507006291,0.15616701,0.400196195,0.830837516
Ndufa9,0.024880438,0.999574161,1.2414065,0.000164316,-0.858671643,0.070997374
Egfl6,-0.133973035,0.999574161,-0.890262776,0.125056136,0.872588044,0.288654262
Lck,-0.019592476,0.999574161,-0.393859622,0.258152677,0.042128429,0.948564687
Cttnbp2,-0.819595307,0.999574161,-0.131408469,0.964524165,1.560877556,0.545750396
Acvrl1,0.278163559,0.999574161,-0.546347955,0.16378067,0.765431752,0.13421022
Acvr1b,-0.13351081,0.999574161,-0.123030496,0.67912718,-0.15471098,0.700102553
Tom1l2,-0.140330992,0.999574161,-1.17604649,4.25385E-08,1.01630688,0.000452142
Zfp385a,0.139578135,0.999574161,-1.623300777,2.48145E-05,3.828516107,7.24822E-17
Atp5pb,-0.014341376,0.999574161,1.140369495,5.99434E-07,-0.817880456,0.010654357
C1d,-0.299747814,0.999574161,0.577971592,0.10401777,-0.474197142,0.366122692
Gm2a,0.105181117,0.999574161,-0.716417698,0.000155757,-0.061726291,0.873795983
Vmn2r88,0.222623457,0.999574161,-0.278306386,0.866181052,1.144934223,0.515827943
Grm6,0.560426516,0.637022491,1.536989987,1.29605E-07,0.149018985,0.797823845
Hk2,0.187227843,0.999574161,2.285056822,9.3102E-28,-1.420508115,3.08886E-07
Myo18a,0.008824968,0.999574161,-1.134748961,4.81997E-08,0.641837667,0.032304728
Cd52,0.015273385,0.999574161,0.882003188,0.000148044,-0.964594347,0.00193101
Abhd15,0.247393642,0.999574161,-0.476839064,0.254926413,0.032598499,0.967657683
Hoxb6,0.265969961,0.999574161,0.762610661,0.63421806,0.483443573,0.838431135
Kat2b,-0.06074793,0.999574161,-1.519878266,2.37819E-20,0.237562021,0.409994055
Icosl,-0.084186886,0.999574161,0.320355089,0.089132533,-0.77432284,0.000596558
Rpa1,-0.027134582,0.999574161,0.159176944,0.611951112,-0.622146596,0.059939521
Polr3d,0.068506372,0.999574161,2.385553949,2.33936E-41,-0.493731634,0.068213506
