genes,Raditation_LFC,Radiation_FDR
Gnai3,-0.658503492,0.105324855
Cdc45,-1.499256625,0.000543697
Scml2,1.149341018,0.458993029
Narf,0.162427651,0.808669872
Cav2,0.555039119,0.736974089
Cox5a,-1.20171767,0.013739401
Ngfr,1.651424485,0.005111181
Fer,0.036317765,0.969533305
Axin2,0.950136334,0.358972058
Gna12,-0.638841043,0.007448938
Itgb2l,-1.055410631,0.714198055
Dlat,-0.814402149,0.05742373
Sdhd,-0.878117043,0.075256923
Ccnd2,-1.039500235,0.002200424
Slfn4,0.23030576,0.907304298
Th,1.719977454,0.398080097
Tspan32,-0.330882516,0.297534207
Clec2g,2.794517916,2.39E-37
Gmpr,1.078537011,0.555917045
Glra1,0.171297114,0.967578234
Trim25,0.439987492,0.39783839
Scpep1,-0.36602808,0.171287721
Pemt,-0.504697866,0.717702365
Cdh1,0.087697872,0.953637079
Ckmt1,8.172629207,0.003621561
Bcl6b,-1.068024936,0.081734512
Clec10a,-0.172208971,0.875825595
Dazap2,-0.221927018,0.6444505
Mcts1,-0.588058785,0.268817234
Rem1,0.365610731,0.856203508
Rnf17,-1.312443786,0.095430222
Ccm2,0.500690018,0.10037649
Tmprss2,1.094342385,0.245092733
Mx1,2.565151196,7.10E-10
Gcg,0.400196195,0.830837516
Ndufa9,-0.858671643,0.070997374
Egfl6,0.872588044,0.288654262
Lck,0.042128429,0.948564687
Cttnbp2,1.560877556,0.545750396
Acvrl1,0.765431752,0.13421022
Acvr1b,-0.15471098,0.700102553
Tom1l2,1.01630688,0.000452142
Zfp385a,3.828516107,7.25E-17
Atp5pb,-0.817880456,0.010654357
C1d,-0.474197142,0.366122692
Gm2a,-0.061726291,0.873795983
Vmn2r88,1.144934223,0.515827943
Grm6,0.149018985,0.797823845
Hk2,-1.420508115,3.09E-07
Myo18a,0.641837667,0.032304728
Cd52,-0.964594347,0.00193101
Abhd15,0.032598499,0.967657683
Hoxb6,0.483443573,0.838431135
Kat2b,0.237562021,0.409994055
Icosl,-0.77432284,0.000596558
Rpa1,-0.622146596,0.059939521
Polr3d,-0.493731634,0.068213506
Il12rb1,-1.289613949,0.030422643
Kcnn3,4.569595325,NA
Txnrd3,-0.57624824,0.161143641
Zfp512b,0.395905165,0.340859458
Fmr1,-0.365830146,0.193655978
Bcl11a,0.00083948,0.99826477
Pxmp4,0.854249062,0.010676444
Dlg3,-0.31303372,0.523008367
Gnb1l,2.104606303,5.06E-08
Mmp11,-0.46156412,0.542222769
Vpreb3,-0.733577169,0.177451232
Nsun5,-1.016483106,0.002475559
Top1mt,0.100284741,0.794466065
Mmp14,0.690330974,0.558309108
Ccl3,-0.48669852,0.771170517
Wfdc18,0.730773142,NA
Snapin,0.010241174,0.985927477
S100a6,1.013319775,0.123276843
Scn4a,0.442502302,0.232386501
Icam2,-0.686214415,0.015784448
Epn2,-0.502255458,0.276618379
N4bp3,-0.285517113,0.449648186
Rmnd5b,-0.342680408,0.288587191
Nhp2,-1.336945816,5.43E-05
Mfsd10,0.195036011,0.624641476
Sebox,-1.266497361,0.248493503
Ift20,-0.836836974,0.056861995
Col6a1,2.042800594,0.240311627
Timp1,-0.260246572,0.921906889
Uxt,-0.569694323,0.153580709
Oas1c,0.750286061,0.087326046
Calm1,-0.647048645,0.142691264
Sema6b,0.929860161,0.274591612
Uhrf1,-2.273441382,1.94E-11
Ramp2,0.57721617,0.786041477
Ckb,0.906058914,0.054390932
Itgb7,-0.319189493,0.332782959
Myg1,-1.005589796,0.002660295
Rarg,2.348148545,0.000104186
Rrp15,-0.816566152,0.013678808
Acp5,0.329029047,0.382260854
Hars,-0.788503986,0.007037308
Cct3,-1.324926707,0.000166086
Tmem79,-0.177766679,0.82854869
Slc19a1,-1.220396655,8.38E-05
Kpnb1,-1.111752912,5.92E-05
Tbx21,0.031643637,0.967657683
Cyp51,-1.686621159,3.34E-07
Nkx2-1,1.911536778,0.21191659
Gtf2h4,-0.660309064,0.05248579
Tubb5,-1.310661727,0.00028567
Jup,0.491050315,0.438191993
Fkbp10,1.816210706,0.062753704
Ergic1,0.11353777,0.819693549
Acap1,-0.457770533,0.135872322
Tcea3,0.506181248,0.720354371
Ifrd1,-0.72810749,0.023066968
Gstt1,0.086168952,0.971450555
Ddx18,-1.098952266,0.001003794
Eef1e1,-1.247632759,0.002383534
Il16,-0.073706299,0.820435119
Naglu,-0.411734591,0.32635991
Rin2,0.969195972,0.132731802
Chordc1,-1.865941307,0.000981595
Pwp1,-0.591836615,0.151210764
Fbxo7,-0.534458369,0.117308385
Capns1,-0.126089679,0.771013798
Rac1,-0.395467668,0.118119185
Ugp2,-0.594076895,0.141542664
Kcnh6,1.381829173,0.06279042
Siae,-0.020201497,0.97150888
Gria3,3.452065577,2.36E-15
Sipa1l2,0.834582282,0.009137118
Srpk3,-0.705342469,0.078158709
Idh3g,-0.442188661,0.372069847
Pnck,1.681792948,0.421185388
Bcap31,-0.519920289,0.35309214
Unc119,-0.344124726,0.289562715
Sdf2,0.070856614,0.854356241
Ccne1,0.145135392,0.781747607
Bbc3,5.774002758,8.19E-70
Psmc3,-0.716370623,0.042206004
Rapsn,0.750287477,0.747788584
Celf2,-0.361164655,0.085289971
Ddb2,0.172416788,0.686208615
Rmnd5a,-0.347215773,0.380678957
Ppm1j,0.40587554,0.824885356
Peg3,0.861594473,0.578192653
Metrn,-0.487793898,0.345402461
Angptl4,-1.602052187,0.002135479
Cd320,-0.497196861,0.464580727
Ipo4,-0.3669123,0.280436827
Irf9,-0.141706571,0.805457249
Dhrs1,0.134531853,0.798707156
Armc6,-1.291195666,0.015512433
Slc25a42,2.266318647,5.76E-13
Ocel1,-0.47015074,0.358921964
Dyrk1b,-0.183354368,0.76127014
Rgs19,-0.631600028,0.020485964
Snrpd1,-1.223416995,0.000241187
Rpl3l,1.482543253,0.457211723
Slc9a3r2,0.563760861,0.737991421
Scin,-0.097800841,0.877805471
Mien1,-0.790458558,0.065370913
Axl,0.224957442,0.728303567
Tgfb1,0.256187392,0.624641476
Zfp40,-0.099464041,0.858044517
Shh,0.533366844,0.800781428
Gtf2f1,-0.697453998,0.005924963
Clpp,-0.861665032,0.002443186
Alkbh7,-0.599470401,0.315792258
Dennd1c,0.623357704,0.009817576
Lcp2,0.371438329,0.562355135
Mrpl2,-0.831703568,0.015256161
Gnmt,0.065298055,0.965260048
Kdelr1,-0.476868156,0.180532405
Jag2,3.702582024,4.02E-09
Epdr1,0.017102442,NA
Qtrt1,-0.530659504,0.198505119
Chaf1a,-1.601382926,5.08E-05
Pla1a,1.002312829,0.544605131
Mcm2,-1.577577461,6.69E-08
Tpra1,0.002259316,0.995285509
Adgre5,-0.148693636,0.588951855
Il17ra,-0.174202108,0.571784428
Kcnn1,-1.243245169,0.400130459
Ppp1r17,2.54793246,0.143954548
Cd36,-2.365424303,8.49E-08
Bcam,1.246541819,0.352051385
Tomm40,-0.840254449,0.004684135
Apoe,0.178268555,0.811122358
Apoc2,1.243235801,0.318289032
Prkar2b,-0.786848796,0.222340616
Cdkn1b,-0.01227709,0.976560359
Ap1m1,-0.125379768,0.743895488
Efna2,-2.064490499,0.225188312
Slc2a3,-0.677740234,0.003129063
Bcl2l12,-0.65368188,0.089347393
Mpnd,0.052685717,0.935168082
Eif2b5,-0.605974305,0.041551316
Dlgap1,0.473897388,0.685076574
Plag1,0.332841466,0.637406441
Hck,0.195643393,0.649070585
Keap1,-0.696003592,0.005605812
Ap1m2,0.352673255,0.663320704
Atp8b3,-1.168674438,0.633374228
Abhd17a,-1.056900874,0.022939308
Fkbp11,-0.064509467,0.965371332
Pld3,0.11448423,0.839199875
Cd79a,-0.225201943,0.561230114
Rabac1,-0.416568122,0.364014541
Elavl3,0.999151333,0.464802033
Rab3b,1.33974816,0.48260501
St8sia6,-1.156081971,0.001238406
Fcgrt,-0.011436741,0.985582469
Timm50,-1.064285788,0.000358864
Med29,-0.782794568,0.053555571
Phyhip,-1.349292412,NA
Crhr2,5.760067838,NA
Cyp4f18,0.437139176,0.207412447
Ier3,0.050851596,0.978339174
Fosb,0.408567698,0.707008374
Klc4,0.732853098,0.002921585
As3mt,-0.704326964,0.020568656
Homer3,2.636038549,1.50E-08
Sec14l2,-0.241522757,0.870955782
Aven,-0.464173869,0.223554354
Cp,0.203053365,0.772871116
Man1a,-0.397180461,0.098210136
Kif20a,-1.008689475,0.072257199
Gcdh,3.688860201,1.81E-18
Syce2,0.188263281,0.752551029
Nqo1,-0.540136557,0.76127014
Gys1,-0.14432171,0.750221255
Ruvbl2,-1.171496262,0.000894822
Bax,2.177900862,5.00E-09
Efnb3,0.22089965,0.860014589
Fam162a,-0.637898786,0.114526783
Gstm5,-1.643535166,0.24299174
Cavin1,1.070439114,0.504375848
Col5a3,0.806176109,0.551197517
Ppan,-0.658310977,0.004616013
Angptl2,1.24452447,0.030467093
Cacna1e,0.486526952,0.256631567
Cacna1b,2.196344675,0.000203534
Etv1,0.664394371,0.528968713
Kifc2,0.934210565,0.061362876
