genes,WTvsMu_lfc,IRvsMock_lfc,Interaction_lfc
Gnai3,-0.098320733,0.759955305,-0.658503492
Cdc45,0.510144395,1.638405487,-1.499256625
Scml2,0.544682211,0.928792905,1.149341018
Narf,-0.229809935,-0.972746792,0.162427651
Cav2,-0.592772511,-1.278882755,0.555039119
Cox5a,0.187557398,1.455863888,-1.20171767
Ngfr,0.162829021,-1.742590234,1.651424485
Fer,0.160516876,-0.561398007,0.036317765
Axin2,-0.33482916,-0.717191613,0.950136334
Gna12,0.250885006,0.106313668,-0.638841043
Itgb2l,2.51871419,1.066154761,-1.055410631
Dlat,-0.120739079,1.147618318,-0.814402149
Sdhd,-0.179606932,1.191599447,-0.878117043
Ccnd2,0.263508594,2.779884992,-1.039500235
Slfn4,1.036291289,0.510833513,0.23030576
Th,-0.47536238,-1.807152329,1.719977454
Tspan32,-0.101876709,-0.437945155,-0.330882516
Clec2g,0.179597484,-0.565464883,2.794517916
Gmpr,-0.729848354,-0.660362245,1.078537011
Glra1,0.53488844,3.770046048,0.171297114
Trim25,0.155618511,-0.68927726,0.439987492
Scpep1,-0.019798591,-0.415169645,-0.36602808
Pemt,-0.082672925,1.787055356,-0.504697866
Cdh1,-0.112168183,-0.380204881,0.087697872
Ckmt1,0.675603383,1.651108057,8.172629207
Bcl6b,0.012095643,0.399113915,-1.068024936
Clec10a,-0.717308762,0.362587771,-0.172208971
Dazap2,-0.200056419,0.046621009,-0.221927018
Mcts1,-0.066662965,0.623960637,-0.588058785
Rem1,-1.00899562,-0.148883418,0.365610731
Rnf17,-0.256157917,1.200259749,-1.312443786
Ccm2,-0.268047321,-0.769476821,0.500690018
Tmprss2,-0.520122353,-0.952582055,1.094342385
Mx1,-0.294536938,-0.637082723,2.565151196
Gcg,0.514556009,1.507006291,0.400196195
Ndufa9,0.024880438,1.2414065,-0.858671643
Egfl6,-0.133973035,-0.890262776,0.872588044
Lck,-0.019592476,-0.393859622,0.042128429
Cttnbp2,-0.819595307,-0.131408469,1.560877556
Acvrl1,0.278163559,-0.546347955,0.765431752
Acvr1b,-0.13351081,-0.123030496,-0.15471098
Tom1l2,-0.140330992,-1.17604649,1.01630688
Zfp385a,0.139578135,-1.623300777,3.828516107
Atp5pb,-0.014341376,1.140369495,-0.817880456
C1d,-0.299747814,0.577971592,-0.474197142
Gm2a,0.105181117,-0.716417698,-0.061726291
Vmn2r88,0.222623457,-0.278306386,1.144934223
Grm6,0.560426516,1.536989987,0.149018985
Hk2,0.187227843,2.285056822,-1.420508115
Myo18a,0.008824968,-1.134748961,0.641837667
Cd52,0.015273385,0.882003188,-0.964594347
